味わう,あじわう,"to taste,to savor,to relish"
乗換,のりかえ,"(n) transfer (trains, buses, etc.)"
飛行場,ひこうじょう,airport
四日,よっか,"four days, fouth day of the month"
方針,ほうしん,"objective,plan,policy"
利口,りこう,"clever,shrewd,bright,sharp,wise,intelligent"
段,だん,"step,stair,flight of steps,grade,rank,level"
貝,かい,"shell,shellfish"
湿度,しつど,level of humidity
放れる,はなれる,"to leave,to get free,to cut oneself off"
彫る,ほる,"to carve,to engrave,to sculpture,to chisel"
重量,じゅうりょう,"(1) weight,(2) heavyweight boxer"
支える,ささえる,"to be blocked,to choke,to be obstructed"
薬,くすり,medicine
詳しい,くわしい,"knowing very well,detailed,full,accurate"
南,みなみ,south
破片,はへん,"fragment,splinter,broken piece"
十,じゅう,"10,ten"
縛る,しばる,"to tie,to bind"
認める,みとめる,"to recognize,to appreciate,to approve,to admit,to notice"
式,しき,"equation,formula,ceremony"
存在,そんざい,"existence,being"
親切,しんせつ,kindness
足,あし,"foot, leg"
偉い,えらい,"great,celebrated,eminent,terrible,awful,famous,remarkable,excellent"
自由,じゆう,freedom
格好,かっこう,"shape,form,posture,suitability"
漸く,ようやく,"gradually,finally,hardly"
現れ,あらわれ,"embodiment,materialization"
見掛け,みかけ,outward appearance
銅,どう,copper
開通,かいつう,"opening,open"
恩恵,おんけい,"grace,favor,blessing,benefit"
崩す,くずす,"to destroy,to pull down,to make change (money)"
引く,ひく,to pull
鉱物,こうぶつ,mineral
唯一,ゆいいつ,"only,sole,unique"
課程,かてい,"course,curriculum"
綿,めん,"cotton,padding"
遅い,おそい,"late, slow"
吊す,つるす,to hang
乾杯,かんぱい,toast (drink)
寝坊,ねぼう,sleeping in late
シーンと,しいんと,"silent (as the grave),(deathly) quiet"
小遣い,こづかい,"personal expenses,pocket money,spending money,incidental expenses,allowance"
溺れる,おぼれる,"to be drowned,to indulge in"
小学校,しょうがっこう,elementary school
布,ぬの,cloth
浸ける,つける,"to dip in,to soak"
虫,むし,insect
水準,すいじゅん,"(1) water level,(2) level,standard"
東洋,とうよう,Orient
文体,ぶんたい,literary style
入る,はいる,"to enter,to contain"
半径,はんけい,radius
硬い,かたい,"solid,hard (esp. metal, stone),unpolished writing"
茶色,ちゃいろ,brown
寺院,じいん,temple
親指,おやゆび,thumb
申し訳,もうしわけ,"apology,excuse"
呼ぶ,よぶ,"to call out,to invite"
盆,ぼん,"Lantern Festival,Festival of the Dead,tray"
図形,ずけい,figure
移転,いてん,"moving,transfer,demise"
退院,たいいん・する,to leave hospital
特徴,とくちょう,"feature,characteristic"
平等,びょうどう,"equality (a),impartiality,evenness"
逆らう,さからう,"to go against,to oppose,to disobey,to defy"
証明,しょうめい,"proof,verification"
名,な,"name,reputation"
発音,はつおん,pronunciation
立つ,たつ,to stand
問い,とい,"question,query"
請求,せいきゅう,"claim,demand,application,request"
明き,あき,"room,time to spare,emptiness"
拾う,ひろう,"to pick up,to gather"
衣食住,いしょくじゅう,"necessities of life (food, clothing, etc.)"
死体,したい,corpse
絶滅,ぜつめつ,"destruction,extinction"
原始,げんし,"origin,primeval"
利害,りがい,"advantages and disadvantages,interest"
日本,にほん,Japan
輸入,ゆにゅう・する,to import
伝染,でんせん,contagion
旗,はた,flag
引受る,ひきうける,"to undertake,to take up,to take over"
下,しも,"under,below,beneath"
世紀,せいき,"century,era"
期間,きかん,"period,term"
上着,うわぎ,jacket
計画,けいかく,"plan,project,schedule,scheme,program"
首都,しゅと,capital city
宿題,しゅくだい,homework
四角,しかく,square
糸,いと,thread
成立,せいりつ,"coming into existence,arrangements,establishment,completion"
税関,ぜいかん,customs house
憎らしい,にくらしい,"odious,hateful"
援助,えんじょ,"assistance,aid,support"
来月,らいげつ,next month
述語,じゅつご,predicate
遠く,とおく,distant
増大,ぞうだい,enlargement
相続,そうぞく,"succession,inheritance"
助手,じょしゅ,"helper,helpmeet,assistant,tutor"
完成,かんせい,"(1) complete,completion,(2) perfection,accomplishment"
剥す,はがす,"(v5s) to tear off,to peel off,to rip off"
掴む,つかむ,"to seize,to catch,to grasp"
異常,いじょう,"strangeness,abnormality,disorder"
満ちる,みちる,"to be full,to rise (tide),to mature,to expire"
靴,くつ,Shoes
午前,ごぜん,morning
船,ふね,"ship,boat,watercraft,shipping,vessel,steamship"
張り切る,はりきる,"to be in high spirits,to be full of vigor"
前者,ぜんしゃ,the former
風邪,かぜ,a cold
金魚,きんぎょ,goldfish
現金,げんきん,"cash,ready money,mercenary,self-interested"
明け方,あけがた,dawn
指輪,ゆびわ,finger ring
気に入る,きにいる,"to be pleased with,to suit"
彼ら,かれら,they
姿勢,しせい,"attitude,posture"
予報,よほう,"forecast,prediction"
運動,うんどう・する,to exercise
残り,のこり,"remnant,residue,remaining,left-over"
毎週,まいしゅう,every week
登場,とうじょう,entry (on stage)
工夫,くふう,"labourer,worker"
田舎,いなか,countryside
歴史,れきし,history
変わる,かわる,to change
宣伝,せんでん,"propaganda,publicity"
自身,じしん,"by oneself,personally"
進める,すすめる,"to advance,to promote,to hasten"
客間,きゃくま,"parlor,guest room"
噂,うわさ,"rumour,report,gossip,common talk"
明かり,あかり,"lamplight,light (in general),brightness"
一休み,ひとやすみ,a rest
測量,そくりょう,"measurement,surveying"
新幹線,しんかんせん,"bullet train (very high speed),shinkansen"
清い,きよい,"clear,pure,noble"
目,め,eye
燃える,もえる,to burn
一体,いったい,"(1) one object,one body,(2) what on earth?,really?,(3) generally"
無事,ぶじ,"safety,peace,quietness"
訪問,ほうもん,"call,visit"
中古,ちゅうこ,"(1) used,second-hand,old"
高等学校,こうとうがっこう,high school
残る,のこる,to remain
船便,ふなびん,surface mail (ship)
教養,きょうよう,"culture,education,refinement,cultivation"
企業,きぎょう,"enterprise,undertaking"
居間,いま,living room (western style)
外国人,がいこくじん,Foreigner
私,わたくし,"(humble) I,myself"
既に,すでに,"already,too late"
咲く,さく,to bloom
立ち止まる,たちどまる,"to stop,to halt,to stand still"
暖かい,あたたかい,warm
作る,つくる,to make
地図,ちず,map
流れる,ながれる,"to stream,to flow,to run (ink),to be washed away"
店員,てんいん,shop assistant
受話器,じゅわき,(telephone) receiver
苦しむ,くるしむ,"to suffer,to groan,to be worried"
日帰り,ひがえり,day trip
貯蔵,ちょぞう,"storage,preservation"
辞典,じてん,dictionary
混雑,こんざつ,"confusion,congestion"
噴火,ふんか,eruption
務める,つとめる,"(1) to serve,to fill a post,to serve under,to work (for)"
賑やか,にぎやか,"bustling,busy"
そこ,そこ,"bottom,sole"
預かる,あずかる,"to keep in custody,to receive on deposit,to take charge of"
晩御飯,ばんごはん,evening meal
一種,いっしゅ,"a species,a kind,a variety"
途中,とちゅう,on the way
生地,きじ,birthplace
地質,ちしつ,geological features
醜い,みにくい,ugly
入れ物,いれもの,"container,case,receptacle"
正味,しょうみ,net (weight)
公正,こうせい,"justice,fairness,impartiality"
年間,ねんかん,year
本物,ほんもの,genuine article
主語,しゅご,(gram) subject
編集,へんしゅう,"editing,compilation,editorial (e.g. committee)"
雑巾,ぞうきん,"house-cloth,dust cloth"
上げる,あげる,to give
警備,けいび,"defense,guard,policing,security"
集る,あつまる,to gather
明確,めいかく,"clear up,clarify,define"
買い物,かいもの,Shopping
裁判,さいばん,"trial,judgement"
後,ご,"afterwards,since then,in the future"
注文,ちゅうもん,"order,request"
評論,ひょうろん,"criticism,critique"
判事,はんじ,"judge,judiciary"
水平線,すいへいせん,horizon
銘々,めいめい,"each,individual"
中心,ちゅうしん,"center,core,heart,pivot,emphasis,balance"
尖る,とがる,"to taper to a point,to become sharp,to be sour,to look displeased"
友人,ゆうじん,friend
竹,たけ,"bamboo,middle (of a three-tier ranking system)"
楽しい,たのしい,enjoyable
騒ぎ,さわぎ,"uproar,disturbance"
暖める,あたためる,"to warm,to heat"
成績,せいせき,"results,record"
売買,ばいばい,"trade,buying and selling"
苦しい,くるしい,"painful,difficult"
幾つ,いくつ,"how many?,how old?"
安易,あんい,easy-going
四角い,しかくい,square
転ぶ,ころぶ,"to fall down,to fall over"
年月,としつき,months and years
違う,ちがう,to differ
上,うわ,"upper,outer,surface"
行き,いき,going
電波,でんぱ,electro-magnetic wave
では,では,"chance of going out,opportunity (to succeed),moment of departure,beginning of work"
手伝う,てつだう,to assist
逆さ,さかさ,"reverse,inversion,upside down"
碗,わん,bowl
落し物,おとしもの,lost property
広める,ひろめる,"to broaden,to propagate"
婦人,ふじん,"woman,female"
方面,ほうめん,"direction,district,field (e.g., of study)"
悠々,ゆうゆう,"quiet,calm,leisurely"
敷地,しきち,site
学習,がくしゅう,"study,learning"
早い,はやい,early
給与,きゅうよ,"allowance,grant,supply"
羽根,はね,shuttlecock
微笑む,ほほえむ,to smile
浮かべる,うかべる,"to float,to express,to look (sad, glad)"
気候,きこう,climate
俳優,はいゆう,"actor,actress,player,performer"
回,かい,counter for occurrences
脱線,だっせん,"derailment,digression"
街角,まちかど,street corner
慰める,なぐさめる,"to comfort,to console"
風呂,ふろ,bath
郵送,ゆうそう,mailing
平和,へいわ,"peace,harmony"
早速,さっそく,"at once,immediately,without delay,promptly"
全く,まったく,"really,truly,entirely,completely"
幅,はば,"width,breadth"
