絶えず,たえず,constantly
社長,しゃちょう,company president
以前,いぜん,"ago,since,before,previous"
睡眠,すいみん,sleep
塔,とう,"tower,pagoda"
近々,ちかぢか,"nearness,before long"
放送,ほうそう,"broadcast,broadcasting"
候補,こうほ,candidacy
迷惑,めいわく,"trouble,bother,annoyance"
釣り合う,つりあう,"to balance,to be in harmony,to suit"
模様,もよう,"pattern,figure,design"
電球,でんきゅう,light bulb
貸し,かし,"loan,lending"
確認,かくにん,"affirmation,confirmation"
底,そこ,"bottom,sole"
相撲,すもう,sumo wrestling
火傷,やけど,"burn,scald"
寄付,きふ,"contribution,donation"
年,とし,year
間隔,かんかく,"space,interval,SPC"
植木,うえき,"garden shrubs,trees,potted plant"
碁,ご,Go (board game of capturing territory)
石鹸,せっけん,soap
締切,しめきり,"closing,cut-off,end,deadline,Closed,No Entrance"
薬品,やくひん,"medicine(s),chemical(s)"
先生,せんせい,"teacher, doctor"
習慣,しゅうかん,"custom,manners"
勝ち,かち,"win,victory"
覚める,さめる,"to wake,to wake up"
到着,とうちゃく,arrival
勧める,すすめる,"to recommend,to advise,to encourage,to offer (wine)"
安定,あんてい,"stability,equilibrium"
与える,あたえる,"to give,to present,to award"
留める,とめる,"to fasten,to turn off,to detain"
巡査,じゅんさ,"police,policeman"
先端,せんたん,"pointed end,tip,fine point"
急速,きゅうそく,rapid (e.g. progress)
家屋,かおく,"house,building"
粗末,そまつ,"crude,rough,plain,humble"
吹く,ふく,to blow
天気予報,てんきよほう,weather forecast
続ける,つづける,to continue
質問,しつもん,Question
癖,くせ,"a habit (often a bad habit),peculiarity"
方々,ほうぼう,"persons,this and that,here and there,everywhere"
無数,むすう,"countless number,infinite number"
操作,そうさ,"operation,management,processing"
砕ける,くだける,"to break,to be broken"
跳ねる,はねる,"to jump,to leap"
陰,かげ,"shade,shadow,other side"
五つ,いつつ,five
感覚,かんかく,"sense,sensation"
剃刀,かみそり,razor
様,よう,"way,manner,kind"
出会う,であう,"to meet by chance,to come across,to happen to encounter"
四,し,four
妙,みょう,"strange,unusual"
向かう,むかう,to face
存じる/存ずる,ぞんじる,"to think, feel, consider, know, etc.(humble)"
為る,する,"to change,to be of use,to reach to"
防止,ぼうし,"prevention,check"
砂,すな,sand
強い,つよい,powerful
紙屑,かみくず,wastepaper
暗い,くらい,Gloomy
括弧,かっこ,"parenthesis,brackets"
機関,きかん,"organ,mechanism,facility,engine"
共同,きょうどう,"cooperation,association,collaboration,joint"
司会,しかい,chairmanship
馬,うま,"(1) horse,(2) promoted bishop (shogi)"
感心,かんしん,"admiration,Well done!"
器用,きよう,"skillful,handy"
錆,さび,rust (colour)
反る,かえる,"to warp,to be warped,to curve"
若々しい,わかわかしい,"youthful,young"
歌謡,かよう,"song,ballad"
着る,きる,to put on from the shoulders down
彼女,かのじょ,"she,girlfriend"
残念,ざんねん,disappointment
終わり,おわり,the end
神様,かみさま,god
承知,しょうち・する,to consent
酔う,よう,"to get drunk,to become intoxicated"
結構,けっこう,"splendid, enough"
決心,けっしん,"determination,resolution"
空,から,sky
澄む/清む,すむ,"to clear (e.g. weather),to become transparent"
基準,きじゅん,"standard,basis,criteria,norm"
建設,けんせつ,"construction,establishment"
盛る,もる,"(1) to serve (food, etc.),(2) to fill up,(3) to prescribe"
規律,きりつ,"order,rules,law"
お兄さん,おにいさん,(honorable) older brother
表,おもて,the front
期限,きげん,"term,period"
片道,かたみち,one-way (trip)
小学生,しょうがくせい,grade school student
日日,ひにち,"every day,daily,day after day"
ジェット機,ジェットき,jet aeroplane
堅い,かたい,"hard (esp. wood),steadfast,honorable,stuffy writing"
乗車,じょうしゃ,"taking a train,entraining"
加速,かそく,acceleration
青少年,せいしょうねん,"youth,young person"
無地,むじ,"plain,unfigured"
状態,じょうたい,"condition,situation,circumstances,state"
皮肉,ひにく,"cynicism,sarcasm"
題名,だいめい,title
お参り,おまいり,"worship,shrine visit"
誕生日,たんじょうび,birthday
長引く,ながびく,"to be prolonged,to drag on"
退屈,たいくつ,"tedium,boredom"
恐れる,おそれる,"to fear,to be afraid of"
必ず,かならず,"certainly,necessarily"
炭鉱,たんこう,"coal mine,coal pit"
集まり,あつまり,"gathering,meeting,assembly,collection"
特定,とくてい,"specific,special,particular"
分解,ぶんかい,"analysis,disassembly"
時速,じそく,speed (per hour)
案内,あんない・する,to guide
内線,ないせん,"phone extension,indoor wiring,inner line"
払う,はらう,to pay
体温,たいおん,temperature (body)
純粋,じゅんすい,"pure,true,genuine,unmixed"
日当たり,ひあたり,"exposure to the sun,sunny place"
大好き,だいすき,to be very likeable
生年月日,せいねんがっぴ,birth date
効力,こうりょく,"effect,efficacy,validity,potency"
文字,もじ,"letter (of alphabet),character"
親しい,したしい,"intimate,close (e.g. friend)"
飛び出す,とびだす,"to jump out,to rush out,to fly out"
就く,つく,"to settle in (place),to take (seat, position),to study (under teacher)"
金曜日,きんようび,Friday
適用,てきよう,applying
錆びる,さびる,"to rust,to become rusty"
薄める,うすめる,"to dilute,to water down"
弁当,べんとう,box lunch
鳴る,なる,to sound
意義,いぎ,"meaning,significance"
図,ず,"figure (e.g. Fig 1),drawing,picture,illustration"
偶数,ぐうすう,even number
衣服,いふく,clothes
返す,かえす,to return something
姉,あね,(humble) older sister
多い,おおい,many
消毒,しょうどく,"disinfection,sterilization"
付き合い,つきあい,"association,socializing,fellowship"
論ずる,ろんずる,"to argue,to discuss,to debate"
漁業,ぎょぎょう,fishing (industry)
椀,わん,"Japanese soup bowl,wooden bowl"
男の子,おとこのこ,Boy
放す,はなす,"to separate,to set free"
一昨日,いっさくじつ,day before yesterday
映画館,えいがかん,cinema
頼む,たのむ,to ask
鼠,ねずみ,"(1) mouse,rat,(2) dark gray,slate color"
肯定,こうてい,"positive,affirmation"
冷房,れいぼう,air conditioning
研修,けんしゅう,training
素質,そしつ,"character,qualities,genius"
湖,みずうみ,lake
直通,ちょくつう,direct communication
人生,じんせい,(human) life (i.e. conception to death)
特殊,とくしゅ,"special,unique"
節,ふし,"tune,tone,knot,knob,point"
花瓶,かびん,a vase
残らず,のこらず,"all,entirely,completely,without exception"
茂る,しげる,"to grow thick,to luxuriate,to be luxurious"
歯医者,はいしゃ,dentist
応用,おうよう,"application,put to practical use"
三角,さんかく,"triangle,triangular"
再来週,さらいしゅう,week after next
罰する,ばっする,"to punish,to penalize"
来日,らいにち,"arrival in Japan,coming to Japan,visit to Japan"
診断,しんだん,diagnosis
権利,けんり,"right,privilege"
立てる,たてる,to stand something up
文,ぶん,sentence
政治,せいじ,"politics,government"
美人,びじん,beautiful person (woman)
回る,まわる,to go around
思い付く,おもいつく,"to think of,to hit upon"
当てる,あてる,"to hit,to apply a patch"
二,に,two
活用,かつよう,"conjugation,practical use"
缶,かん,"can,tin"
勘違い,かんちがい,"misunderstanding,wrong guess"
本当,ほんとう,"truth,reality"
発表,はっぴょう,"announcement,publication"
愛する,あいする,to love
臭い,くさい,"odour,scent,smell,stench"
届ける,とどける,to reach
海洋,かいよう,ocean
飲む,のむ,to drink
捕る,とる,"to take,to catch (fish),to capture"
陽射,ひざし,"sunlight,rays of the sun"
温泉,おんせん,"spa,hot spring,onsen"
正式,せいしき,"due form,official,formality"
二十,はたち,"20 years old,20th year"
憎む,にくむ,"to hate,to detest"
方,ほう,side
下品,げひん,"vulgarity,meanness,indecency,coarseness"
消防署,しょうぼうしょ,fire station
万歳,ばんざい,"hurrah, cheers"
基礎,きそ,"foundation,basis"
盗難,とうなん,"theft,robbery"
勝つ,かつ,to win
例えば,たとえば,for example
応接,おうせつ,reception
手伝い,てつだい,"help,helper,assistant"
戸,と,Japanese style door
帯,おび,"band (e.g. conduction, valence)"
絹,きぬ,silk
破く,やぶく,to tear; to rip
蒸発,じょうはつ,"evaporation,unexplained disappearance"
一日,ついたち,first of month
重い,おもい,Heavy
梯子,はしご,"ladder,stairs"
心身,しんしん,mind and body
縮小,しゅくしょう,"reduction,curtailment"
等しい,ひとしい,equal
重たい,おもたい,"heavy,massive,serious"
下げる,さげる,"to hang,to lower,to move back"
木材,もくざい,"lumber,timber,wood"
落着く,おちつく,"to calm down,to settle down"
苦手,にがて,"poor (at),weak (in),dislike (of)"
潜る,もぐる,"(1) to drive,to pass through,(2) to evade,to hide,(3) to dive (into or under water),to go undergroun"
溶かす,とかす,"to melt,to dissolve"
登山,とざん,mountain-climbing
糊,のり,"paste,starch"
筆,ふで,writing brush
妻,つま,(humble) wife
熱中,ねっちゅう,"nuts!,enthusiasm,zeal,mania"
夜間,やかん,"at night,nighttime"
発行,はっこう,issue (publications)
枯れる,かれる,"to wither,to die (plant),to be blasted (plant)"
速度,そくど,"speed,velocity,rate"
鉄道,てつどう,railroad
日課,にっか,"daily lesson,daily work,daily routine"
以来,いらい,"since,henceforth"
陽気,ようき,"season,weather,cheerfulness"
形容詞,けいようし,true adjective
七,なな,seven
芸能,げいのう,"public entertainment,accomplishments,attainments"
突き当たり,つきあたり,end (e.g. of street)
決定,けってい,"decision,determination"
作製,さくせい,manufacture
お菓子,おかし,"sweets, candy"
物質,ぶっしつ,"material,substance"
背,せい,"height,stature"
旅,たび,"travel,trip,journey"
部首,ぶしゅ,radical (of a kanji character)
下手,へた,unskillful
