口述,こうじゅつ,verbal statement
先行,せんこう,"preceding, going first"
選考,せんこう,"selection, screening"
戦災,せんさい,war damage
専修,せんしゅう,specialization
戦術,せんじゅつ,tactics
潜水,せんすい,diving
先先月,せんせんげつ,month before last
先先週,せんせんしゅう,week before last
先代,せんだい,"family predecessor, previous age, previous generation"
先だって,せんだって,"recently, the other day"
先着,せんちゃく,first arrival
先天的,せんてんてき,"a priori, inborn, innate, inherent, congenital, hereditary"
戦闘,せんとう,"battle, fight, combat"
潜入,せんにゅう,"infiltration, sneaking in"
船舶,せんぱく,ship
専用,せんよう,"exclusive use, personal use"
占領,せんりょう,"occupation, capture, possession, have a room to oneself"
戦力,せんりょく,war potential
税務署,ぜいむしょ,tax office
是正,ぜせい,"correction, revision"
絶版,ぜっぱん,out of print
絶望,ぜつぼう,"despair, hopelessness"
是非とも,ぜひとも,by all means (with sense of not taking no for an answer)
膳,ぜん,"(small) table, tray, meal"
禅,ぜん,Zen (Buddhism)
全快,ぜんかい,complete recovery of health
全盛,ぜんせい,height of prosperity
前提,ぜんてい,"preamble, premise, reason, prerequisite"
前途,ぜんと,"future prospects, outlook, the journey ahead"
全滅,ぜんめつ,annihilation
善良,ぜんりょう,"goodness, excellence, virtue"
前例,ぜんれい,precedent
僧,そう,"monk, priest"
沿う,そう,"to run along, to follow"
添う,そう,"to accompany, to become married, to comply with"
総,そう,"whole, all, general, gross"
相応,そうおう,"suitability, fitness"
総会,そうかい,general meeting
創刊,そうかん,"launching (e.g. newspaper), first issue"
送金,そうきん,"remittance, sending money"
走行,そうこう,"running a wheeled vehicle (e.g. car), traveling"
総合,そうごう,"synthesis, coordination, putting together, integration, composite"
捜査,そうさ,"search (esp. in criminal investigations), investigation"
捜索,そうさく,"search (esp. for someone or something missing), investigation"
然うして,そうして,"and, like that"
装飾,そうしょく,ornament
操縦,そうじゅう,"management, handling, control, manipulation"
創造,そうぞう,creation
壮大,そうだい,"magnificent, grand, majestic, splendid"
騒動,そうどう,"strife, riot, rebellion"
遭難,そうなん,"disaster, shipwreck, accident"
相場,そうば,"market price, speculation, estimation"
装備,そうび,equipment
創立,そうりつ,"establishment, founding, organization"
添える,そえる,"to add to, to attach, to append, to accompany, to garnish, to imitate, to annex"
即座に,そくざに,"immediately, right away"
促進,そくしん,"promotion, acceleration, encouragement, facilitation, spurring on"
即する,そくする,"to conform to, to agree with, to be adapted to, to be based on"
束縛,そくばく,"restraint, shackles, restriction, confinement, binding"
側面,そくめん,"side, flank, sidelight, lateral"
其処,そこ,"that place, there"
其処で,そこで,"so (conj), accordingly, now, then, thereupon"
損なう,そこなう,"to harm, to hurt, to injure, to damage, to fail in doing"
其処ら,そこら,"everywhere, somewhere, approximately, that area, around there"
素材,そざい,"raw materials, subject matter"
阻止,そし,"obstruction, check, hindrance, prevention, interdiction"
然して,そして,and
訴訟,そしょう,"litigation, lawsuit"
育ち,そだち,"breeding, growth"
措置,そち,"measure, step"
其方,そちら,"over there, the other"
素っ気ない,そっけない,"cold, short, curt, blunt"
率直,そっちょく,"frankness, candour, openheartedness"
外方,そっぽ,look (or turn) the other way
備え付ける,そなえつける,"to provide, to furnish, to equip, to install"
備わる,そなわる,"to be furnished with, to be endowed with, to possess, to be among, to be one of, to be possessed of"
園,その,"garden, park, plantation"
その上,そのうえ,"in addition, furthermore"
その内,そのうち,"eventually, sooner or later, of the previously mentioned"
その為,そのため,"hence, for that reason"
その外,そのほか,"besides, in addition, the rest"
其の儘,そのまま,"without change, as it is (i.e. now)"
聳える,そびえる,"to rise, to tower, to soar"
素朴,そぼく,"simplicity, artlessness, naivete"
染まる,そまる,to dye
背く,そむく,"to run counter to, to go against, to disobey, to infringe"
染める,そめる,"to dye, to colour"
逸らす,そらす,"to turn away, to avert"
反り,そり,"warp, curvature, curve, arch"
其れ,それ,"it, that"
其れから,それから,"and then, after that"
各々,それぞれ,"each, every, either, respectively, severally"
其れで,それで,"and (conj), thereupon, because of that"
其れでは,それでは,"in that situation, well then ..."
其れでも,それでも,"but (still), and yet, nevertheless, even so, notwithstanding"
其れ共,それとも,"or, or else"
其れに,それに,"besides, moreover"
其れ程,それほど,"to that degree, extent"
其れ故,それゆえ,"therefore, for that reason, so"
揃い,そろい,"set, suit, uniform"
徐々,そろそろ,"gradually, steadily, quietly, slowly, soon"
損失,そんしつ,loss
存続,そんぞく,"duration, continuance"
沿い,ぞい,along
像,ぞう,"statue, image, figure, picture, portrait"
増強,ぞうきょう,"augment, reinforce, increase"
蔵相,ぞうしょう,Minister of Finance
増進,ぞうしん,"promoting, increase, advance"
他意,たい,"ill will, malice, another intention, secret purpose, ulterior motive, fickleness, double-mindedness"
対応,たいおう,"interaction, correspondence, coping with, dealing with"
退化,たいか,"degeneration, retrogression"
体格,たいかく,"physique, constitution"
大概,たいがい,"in general, mainly"
退学,たいがく,dropping out of school
大金,たいきん,great cost
待遇,たいぐう,"treatment, reception"
対決,たいけつ,"confrontation, showdown"
体験,たいけん,personal experience
対抗,たいこう,"opposition, antagonism"
対して,たいして,"for, in regard to, per"
大衆,たいしゅう,general public
対処,たいしょ,"deal with, cope"
退職,たいしょく,retirement (from office)
退治,たいじ,extermination
態勢,たいせい,"attitude, conditions, preparations"
対談,たいだん,"talk, dialogue, conversation"
対等,たいとう,equivalent
滞納,たいのう,"non-payment, default"
対比,たいひ,"contrast, comparison"
大部,たいぶ,"most (e.g. most part), greater, fairly, a good deal, much"
対辺,たいへん,(geometrical) opposite side
待望,たいぼう,expectant waiting
怠慢,たいまん,"negligence, procrastination, carelessness"
対面,たいめん,"interview, meeting"
対立,たいりつ,"confrontation, opposition, antagonism"
体力,たいりょく,physical strength
対話,たいわ,"interactive, interaction, conversation, dialogue"
耐える,たえる,"to bear, to endure"
絶える,たえる,"to die out, to peter out, to become extinct"
堪える,たえる,"to bear, to stand, to endure, to put up with, to support, to withstand, to resist, to brave, to be fit for, t"
高,たか,"quantity, amount, volume, number, amount of money"
高まる,たかまる,"to rise, to swell, to be promoted"
焚火,たきび,(open) fire
沢山,たくさん,"many, a lot, much"
逞しい,たくましい,"burly, strong, sturdy"
巧み,たくみ,"skill, cleverness"
類,たぐい,a kind
丈,たけ,"height, stature, length, measure, all (one has)"
足し算,たしざん,addition
多数決,たすうけつ,majority rule
助け,たすけ,assistance
携わる,たずさわる,"to participate, to take part"
漂う,ただよう,"to drift about, to float, to hang in air"
館,たち,"1. mansion, small castle"
立方,たちかた,dancing (geisha)
忽ち,たちまち,"at once, in a moment, suddenly, all at once"
立ち寄る,たちよる,"to stop by, to drop in for a short visit"
達者,たっしゃ,"skillful, in good health"
達成,たっせい,achievement
尊い,たっとい,"precious, valuable, priceless, noble, exalted, sacred"
貴い,たっとい,"precious, valuable, priceless, noble, exalted, sacred"
尊ぶ,たっとぶ,"to value, to prize, to esteem"
絶つ,たつ,"to sever, to cut off, to suppress, to abstain (from)"
盾,たて,"shield, buckler, escutcheon, pretext"
建前,たてまえ,"face, official stance, public position or attitude (as opposed to private thoughts)"
奉る,たてまつる,"to offer, to present, to revere, to do respectfully"
例え,たとえ,"example, even if, if, though, although"
仮令,たとえ,"example, even if, if, though, although"
他動詞,たどうし,transitive verb (direct obj)
辿り着く,たどりつく,"to grope along to, to struggle on to, to arrive somewhere after a struggle"
辿る,たどる,"to follow (road), to pursue (course), to follow up"
掌,たなごころ,the palm
楽しむ,たのしむ,to enjoy oneself
頼み,たのみ,"request, favor, reliance, dependence"
煙草,たばこ,"(pt:) (n) (uk) tobacco (pt: tabaco), cigarettes"
度々,たびたび,"often, repeatedly, frequently"
他方,たほう,"another side, different direction, (on) the other hand"
多忙,たぼう,"busy, pressure of work"
給う,たまう,"to receive, to grant"
偶に,たまに,"occasionally, once in a while"
堪らない,たまらない,"intolerable, unbearable, unendurable"
溜まり,たまり,"collected things, gathering place, arrears"
賜る,たまわる,"to grant, to bestow"
例,ためし,"instance, example, case, precedent, experience, custom, usage, parallel, illustration"
躊躇う,ためらう,to hesitate
保つ,たもつ,"to keep, to preserve, to hold, to retain, to maintain, to support, to sustain, to last, to endure, to keep we"
容易い,たやすい,"easy, simple, light"
多様,たよう,"diversity, variety"
弛み,たるみ,"slack, slackening, dullness, letdown"
弛む,たるむ,"to slacken, to loosen, to relax"
誰,たれ,adjectival suffix for a person
垂れる,たれる,"to hang, to droop, to drop, to lower, to pull down, to dangle, to sag, to drip, to ooze, to trickle, to leave"
歎,たん,"grief, sigh, lamentation"
反,たん,"roll of cloth (c. 10 yds.), .245 acres, 300 tsubo"
単一,たんいつ,"single, simple, sole, individual, unitory"
短歌,たんか,"tanka, 31-syllable Japanese poem"
担架,たんか,"stretcher, litter"
短気,たんき,quick temper
探検,たんけん,"exploration, expedition"
短縮,たんしゅく,"shortening, abbreviation, reduction"
箪笥,たんす,chest of drawers
炭素,たんそ,carbon (C)
短大,たんだい,junior college
単調,たんちょう,"monotony, monotone, dullness"
単独,たんどく,"sole, independence, single, solo (flight)"
短波,たんぱ,short wave
蛋白質,たんぱくしつ,protein
第,だい,ordinal
第一,だいいち,"first, foremost, # 1"
大胆,だいたん,"bold, daring, audacious"
台無し,だいなし,"mess, spoiled, (come to) nothing"
大便,だいべん,"feces, excrement, shit"
代弁,だいべん,"pay by proxy, act for another, speak for another"
台本,だいほん,"libretto, scenario"
代用,だいよう,substitution
打開,だかい,break in the deadlock
妥協,だきょう,"compromise, giving in"
丈,だけ,"only, just, as"
妥結,だけつ,agreement
打撃,だげき,"1. blow, shock, strike, damage, 2. batting (baseball)"
駄作,ださく,"poor work, rubbish"
脱出,だっしゅつ,escape
脱する,だっする,"to escape from, to get out"
脱退,だったい,secession
騙す,だます,"to trick, to cheat, to deceive"
怠い,だるい,"sluggish, feel heavy, languid, dull"
壇,だん,"1. platform, podium, rostrum, 2. (arch) mandala"
団結,だんけつ,"unity, union, combination"
断言,だんげん,"declaration, affirmation"
断然,だんぜん,"firmly, absolutely, definitely"
段々,だんだん,"gradually, by degrees"
旦那,だんな,"master (of house), husband (informal)"
断面,だんめん,cross section
弾力,だんりょく,"elasticity, flexibility"
治安,ちあん,public order
近付く,ちかづく,"to approach, to get near, to get acquainted with, to get closer"
違える,ちがえる,to change
契る,ちぎる,"to pledge, to promise, to swear"
畜産,ちくさん,animal husbandry
畜生,ちくしょう,"beast, brute, damn"
蓄積,ちくせき,"accumulation, accumulate, store"
知性,ちせい,intelligence
乳,ちち,"milk, breast, loop"
父母,ちちはは,"father and mother, parents"
縮まる,ちぢまる,"to be shortened, to be contracted, to shrink"
窒息,ちっそく,suffocation
些とも,ちっとも,not at all (neg. verb)
秩序,ちつじょ,"order, regularity, system, method"
知的,ちてき,intellectual
著,ちゃく,"counter for suits of clothing, arriving at .."
着,ちゃく,"counter for suits of clothing, arriving at .."
着手,ちゃくしゅ,"embarkation, launch"
着色,ちゃくしょく,"colouring, coloring"
着席,ちゃくせき,"sit down, seat"
着目,ちゃくもく,attention
着陸,ちゃくりく,"landing, alighting, touch down"
着工,ちゃっこう,start of (construction) work
茶の間,ちゃのま,living room (Japanese style)
茶の湯,ちゃのゆ,tea ceremony
昼間,ちゅうかん,"daytime, during the day"
宙返り,ちゅうがえり,"somersault, looping-the-loop"
中継,ちゅうけい,"relay, hook-up"
忠告,ちゅうこく,"advice, warning"
中指,ちゅうし,middle finger
中傷,ちゅうしょう,"slander, libel, defamation"
忠実,ちゅうじつ,"fidelity, faithfulness"
中枢,ちゅうすう,"centre, pivot, mainstay, nucleus, backbone, central figure, pillar, key man"
抽選,ちゅうせん,"lottery, raffle, drawing (of lots)"
中断,ちゅうだん,"interruption, suspension, break"
中腹,ちゅうっぱら,"irritated, offended"
中毒,ちゅうどく,poisoning
仲人,ちゅうにん,"go-between, matchmaker"
昼飯,ちゅうはん,"lunch, midday meal"
中立,ちゅうりつ,neutrality
中和,ちゅうわ,"neutralize, counteract"
腸,ちょう,"guts, bowels, intestines"
蝶,ちょう,butterfly
超,ちょう,"super-, ultra-, hyper-"
庁,ちょう,government office
調印,ちょういん,"signature, sign, sealing"
聴覚,ちょうかく,the sense of hearing
長官,ちょうかん,"chief, (government) secretary"
聴講,ちょうこう,"lecture attendance, auditing"
徴収,ちょうしゅう,"collection, levy"
聴診器,ちょうしんき,stethoscope
挑戦,ちょうせん,"challenge, defiance"
長大,ちょうだい,"very long, great length"
調停,ちょうてい,"arbitration, conciliation, mediation"
恰度,ちょうど,"just, right, exactly"
長編,ちょうへん,long (e.g. novel film)
丁目,ちょうめ,"district of a town, city block (of irregular size)"
調理,ちょうり,cooking
調和,ちょうわ,harmony
直面,ちょくめん,confrontation
著書,ちょしょ,"literary work, book"
貯蓄,ちょちく,savings
直感,ちょっかん,intuition
一寸,ちょっと,"(ateji) (adv int) (uk) just a minute, a short time, a while, just a little, somewhat, easily, readily, rath"
著名,ちょめい,"well-known, noted, celebrated"
塵取り,ちりとり,dustpan
治療,ちりょう,medical treatment
賃金,ちんぎん,wages
沈殿,ちんでん,"precipitation, settlement"
沈没,ちんぼつ,"sinking, foundering"
沈黙,ちんもく,"silence, reticence"
陳列,ちんれつ,"exhibition, display, show"
追及,ついきゅう,"gaining on, carrying out, solving (crime)"
追跡,ついせき,pursuit
次いで,ついで,"next, secondly, subsequently"
追放,ついほう,"exile, banishment"
費やす,ついやす,"to spend, to devote, to waste"
墜落,ついらく,"falling, crashing"
通,つう,"connoisseur, counter for letters"
痛感,つうかん,"feeling keenly, fully realizing"
通常,つうじょう,"common, general, usually"
痛切,つうせつ,"keen, acute"
杖,つえ,cane
遣い,つかい,"mission, simple task, doing"
使い道,つかいみち,use
仕える,つかえる,"to serve, to work for"
司る,つかさどる,"to rule, to govern, to administer"
束の間,つかのま,"moment, brief time, brief, transient"
付き,つき,"attached to, impression, sociality, appearance, furnished with, under, to"
付き合う,つきあう,"to associate with, to keep company with, to get on with"
月並み,つきなみ,"every month, common"
尽きる,つきる,"to be used up, to be run out, to be exhausted, to be consumed, to come to an end"
継ぎ目,つぎめ,"a joint, joining point"
吐く,つく,"1. to breathe, 2. to tell (lies), 3. to vomit, to disgorge"
尽くす,つくす,"to exhaust, to run out, to serve (a person), to befriend"
