愛,あい,love
賞,しょう,"prize,award"
上,じょう,"(1) first volume,(2) superior quality,(3) governmental"
障害,しょうがい,"obstacle,impediment (fault),damage"
奨学金,しょうがくきん,scholarship
乗客,じょうきゃく,passenger
上京,じょうきょう,proceeding to the capital (Tokyo)
状況,じょうきょう,"state of affairs,situation,circumstances"
条件,じょうけん,"conditions,terms"
正午,しょうご,"noon,mid-day"
正直,しょうじき,"honesty,integrity,frankness"
常識,じょうしき,common sense
少女,しょうじょ,"daughter,young lady,virgin,maiden,little girl"
少々,しょうしょう,"just a minute,small quantity"
症状,しょうじょう,"symptoms,condition"
生じる,しょうじる,"to produce,to yield,to result from,to arise,to be generated"
招待,しょうたい,invitation
状態,じょうたい,"condition,situation,circumstances,state"
上達,じょうたつ,"improvement,advance,progress"
冗談,じょうだん,"jest,joke"
承知,しょうち,"consent,acceptance,assent,admitting"
上等,じょうとう,"superiority,first class,very good"
衝突,しょうとつ,"collision,conflict"
商人,しょうにん,"trader,shopkeeper,merchant"
承認,しょうにん,"recognition,acknowledgement,approval,consent,agreement"
少年,しょうねん,"boys,juveniles"
商売,しょうばい,"trade,business,commerce,transaction,occupation"
消費,しょうひ,"consumption,expenditure"
商品,しょうひん,"commodity,article of commerce,goods,stock,merchandise"
消防,しょうぼう,"fire fighting,fire department"
情報,じょうほう,"information,(military) intelligence"
証明,しょうめい,"proof,verification"
女王,じょおう,queen
職,しょく,employment
職業,しょくぎょう,"occupation,business"
食事,しょくじ,meal
食卓,しょくたく,dining table
食品,しょくひん,"commodity,foodstuff"
植物,しょくぶつ,"plant,vegetation"
食物,しょくもつ,"food,foodstuff"
食欲,しょくよく,appetite (for food)
食料,しょくりょう,food
食糧,しょくりょう,"provisions,rations"
書斎,しょさい,study
女子,じょし,"woman,girl"
助手,じょしゅ,"helper,helpmeet,assistant,tutor"
徐々に,じょじょに,"slowly,little by little,gradually,steadily,quietly"
署名,しょめい,signature
書物,しょもつ,books
女優,じょゆう,actress
処理,しょり,"processing,dealing with,treatment,disposition,disposal"
書類,しょるい,"documents,official papers"
知らせ,しらせ,notice
尻,しり,"buttocks,bottom"
印,しるし,"(1) mark,(2) symbol,(3) evidence"
城,しろ,castle
進学,しんがく,going on to university
神経,しんけい,"nerve,sensitivity"
真剣,しんけん,"seriousness,earnestness"
信仰,しんこう,"(religious) faith,belief,creed"
信号,しんごう,"traffic lights,signal,semaphore"
人工,じんこう,"artificial,manmade,human work,human skill,artificiality"
深刻,しんこく,serious
診察,しんさつ,medical examination
人種,じんしゅ,race (of people)
信じる,しんじる,"to believe,to place trust in"
人生,じんせい,(human) life (i.e. conception to death)
親戚,しんせき,relative
新鮮,しんせん,fresh
心臓,しんぞう,heart
身体,しんたい,the body
身長,しんちょう,"height (of body),stature"
慎重,しんちょう,"discretion,prudence"
心配,しんぱい,"worry,concern,anxiety,care"
審判,しんぱん,"refereeing,trial,judgement,umpire,referee"
人物,じんぶつ,"character,personality,person,man,personage,talented man"
進歩,しんぽ,"progress,development"
親友,しんゆう,"close friend,buddy"
信用,しんよう,"confidence,dependence,credit,faith"
信頼,しんらい,"reliance,trust,confidence"
心理,しんり,mentality
人類,じんるい,"mankind,humanity"
巣,す,"nest,rookery,breeding place,beehive,cobweb"
図,ず,"figure (e.g. Fig 1),drawing,picture,illustration"
水準,すいじゅん,"(1) water level,(2) level,standard"
推薦,すいせん,recommendation
随分,ずいぶん,extremely
睡眠,すいみん,sleep
数,すう,"number,figure"
数字,すうじ,"numeral,figure"
末,すえ,"the end of,powder"
姿,すがた,"figure,shape,appearance"
空く,すく,"(1) to open,to become empty,(2) to be less crowded"
救う,すくう,"to rescue from,to help out of"
優れる,すぐれる,"to surpass,to outstrip,to excel"
少しも,すこしも,"anything of,not one bit"
過ごす,すごす,"to pass,to spend,to go through,to tide over"
筋,すじ,"muscle,string,line"
進める,すすめる,"to advance,to promote,to hasten"
勧める,すすめる,"to recommend,to advise,to encourage,to offer (wine)"
頭痛,ずつう,headache
既に,すでに,"already,too late"
素晴らしい,すばらしい,"wonderful,splendid,magnificent"
全て,すべて,"all,the whole,entirely,in general,wholly"
済ませる,すませる,to be finished
角,すみ,horn
為る,する,"to change,to be of use,to reach to"
すると,すると,"thereupon,hereupon"
鋭い,するどい,"pointed,sharp"
背,せい,"height,stature"
正,せい,"(logical) true,regular"
生,せい,"(1) draft (beer),(2) raw,unprocessed"
性,せい,"sex,gender"
所為,せい,"cause,reason,fault"
税,ぜい,tax
性格,せいかく,"character,personality"
正確,せいかく,"accurate,punctuality,exactness,authenticity,veracity"
世紀,せいき,"century,era"
請求,せいきゅう,"claim,demand,application,request"
税金,ぜいきん,"tax,duty"
清潔,せいけつ,clean
制限,せいげん,"restriction,restraint,limitation"
成功,せいこう,"success,hit"
生産,せいさん,"production,manufacture"
正式,せいしき,"due form,official,formality"
精神,せいしん,"mind,soul,heart,spirit,intention"
成人,せいじん,adult
精々,せいぜい,"at the most,at best,to the utmost,as much (far) as possible"
成績,せいせき,"results,record"
製造,せいぞう,"manufacture,production"
贅沢,ぜいたく,"luxury,extravagance"
成長,せいちょう,"growth,grow to adulthood"
制度,せいど,"system,institution,organization"
青年,せいねん,"youth,young man"
製品,せいひん,"manufactured goods,finished goods"
政府,せいふ,"government,administration"
生物,せいぶつ,raw food
生命,せいめい,"life,existence"
整理,せいり,"sorting,arrangement,adjustment,regulation"
咳,せき,cough
石炭,せきたん,coal
責任,せきにん,"duty,responsibility"
石油,せきゆ,"oil,petroleum,kerosene"
世間,せけん,"world,society"
説,せつ,theory
積極的,せっきょくてき,"positive,active,proactive"
設計,せっけい,"plan,design"
絶対,ぜったい,"absolute,unconditional,absoluteness"
設備,せつび,"equipment,device,facilities,installation"
絶滅,ぜつめつ,"destruction,extinction"
節約,せつやく,"economising,saving"
是非,ぜひ,"certainly,without fail"
責める,せめる,"to condemn,to blame,to criticize"
世話,せわ,"looking after,help,aid,assistance"
善,ぜん,"good,goodness,right,virtue"
全,ぜん,"all,whole,entire,complete,overall,pan"
全員,ぜんいん,"all members (unanimity),all hands,the whole crew"
専攻,せんこう,"major subject,special study"
全国,ぜんこく,"country-wide,nation-wide,whole country,national"
先日,せんじつ,"the other day,a few days ago"
前者,ぜんしゃ,the former
選手,せんしゅ,"(1) player (in game),(2) team"
前進,ぜんしん,"advance,drive,progress"
全然,ぜんぜん,"(1) wholly,entirely,completely,(2) not at all (with neg. verb)"
全体,ぜんたい,"whole,entirety,whatever (is the matter)"
選択,せんたく,"selection,choice"
そう,そう,so
象,ぞう,elephant
騒音,そうおん,noise
増加,ぞうか,"increase,addition"
操作,そうさ,"operation,management,processing"
掃除,そうじ,"cleaning,sweeping"
想像,そうぞう,"imagination,guess"
相続,そうぞく,"succession,inheritance"
相談,そうだん,"consultation,discussion"
装置,そうち,"equipment,installation,apparatus"
相当,そうとう,"suitable,fair,tolerable,proper"
速度,そくど,"speed,velocity,rate"
そこ,そこ,"bottom,sole"
底,そこ,"bottom,sole"
組織,そしき,"(1) organization,(2) structure,construction,(3) tissue,(4) system"
注ぐ,そそぐ,"to pour (into),to irrigate,to pay,to fill,to feed (e.g. a fire)"
育つ,そだつ,"to raise (child),to be brought up,to grow (up)"
率土,そっと,face of the earth
袖,そで,sleeve
備える,そなえる,"to furnish,to provide for,to equip,to install"
その,その,"the,that"
側,そば,"side,edge,third person"
粗末,そまつ,"crude,rough,plain,humble"
損,そん,"loss,disadvantage"
損害,そんがい,"damage,injury,loss"
尊敬,そんけい,"respect,esteem,reverence,honour"
存在,そんざい,"existence,being"
尊重,そんちょう,"respect,esteem,regard"
田,た,rice field
他,た,other (esp. places and things)
対,たい,"pair,couple,set"
大,だい,big; large; great
台,だい,"stand,rack,table,support"
題,だい,"title,subject,theme,topic"
体育,たいいく,"physical education,gymnastics,athletics"
体温,たいおん,temperature (body)
大会,たいかい,"convention,tournament,mass meeting,rally"
大気,たいき,atmosphere
代金,だいきん,"price,payment,cost,charge"
退屈,たいくつ,"tedium,boredom"
滞在,たいざい,"stay,sojourn"
大使,たいし,ambassador
大した,たいした,"considerable,great,important,significant,a big deal"
対象,たいしょう,"target,object (of worship, study, etc),subject (of taxation, etc)"
大臣,だいじん,cabinet minister
対する,たいする,"to face,to confront,to oppose"
大戦,たいせん,"great war,great battle"
大抵,たいてい,"usually,generally"
態度,たいど,"attitude,manner"
大統領,だいとうりょう,"president,chief executive"
大半,たいはん,"majority,mostly,generally"
代表,だいひょう,"representative,representation,delegation,type,example,model"
大部分,だいぶぶん,"most part,greater part,majority"
大変,たいへん,"awful,dreadful,terrible,very"
逮捕,たいほ,"arrest,apprehension,capture"
太陽,たいよう,"sun,solar"
平ら,たいら,"flatness,level,smooth,calm,plain"
代理,だいり,"representation,agency,proxy,deputy,agent"
大陸,たいりく,continent
倒す,たおす,"to throw down,to beat,to bring down,to blow down"
互い,たがい,"mutual,reciprocal"
宝,たから,treasure
だから,だから,"so,therefore"
宅,たく,"house,home,husband"
確かめる,たしかめる,to ascertain
多少,たしょう,"more or less,somewhat,a little,some"
助ける,たすける,"to help,to save,to rescue"
唯,ただ,"free of charge,mere,sole,only,usual,common"
戦い,たたかい,"battle,fight,struggle,conflict"
戦う,たたかう,"to fight,to battle,to combat"
叩く,たたく,"to strike,to clap,to dust,to beat"
直ちに,ただちに,"at once,immediately,directly,in person"
立ち上がる,たちあがる,to stand up
立場,たちば,"standpoint,position,situation"
経つ,たつ,"to pass,to lapse"
達する,たっする,"to reach,to get to"
唯,たった,"free of charge,mere,sole,only,usual,common"
縦,たて,"length,height"
谷,たに,valley
他人,たにん,"another person,unrelated person,outsider,stranger"
種,たね,"(1) seed,(2) material,(3) cause,source"
束,たば,"handbreadth,bundle"
度,たび,counter for occurrences
旅,たび,"travel,trip,journey"
多分,たぶん,"perhaps,probably"
玉,たま,"ball,sphere,coin"
球,たま,"globe,sphere,ball"
弾,たま,"bullet,shot,shell"
偶,たま,"even number,couple,man and wife,friend"
偶々,たまたま,"casually,unexpectedly,accidentally,by chance"
黙る,だまる,to be silent
駄目,だめ,"useless,no good,hopeless"
試し,ためし,"trial,test"
試す,ためす,"to attempt,to test"
便り,たより,"news,tidings,information,correspondence,letter"
頼る,たよる,"to rely on,to have recourse to,to depend on"
誰か,だれか,"someone,somebody"
段,だん,"step,stair,flight of steps,grade,rank,level"
単位,たんい,"unit,denomination,credit (in school)"
単語,たんご,"word,vocabulary,(usually) single-character word"
男子,だんし,"youth,young man"
単純,たんじゅん,simplicity
誕生,たんじょう,birth
団体,だんたい,"organization,association"
担当,たんとう,(in) charge
単なる,たんなる,"mere,simple,sheer"
単に,たんに,"simply,merely,only,solely"
地,ち,earth
地位,ちい,"(social) position,status"
地域,ちいき,"area,region"
知恵,ちえ,"wisdom,wit,sagacity,sense,intelligence,advice"
地下,ちか,"basement,underground"
違い,ちがい,"difference,discrepancy"
違いない,ちがいない,"(phrase) sure,no mistaking it,for certain"
近頃,ちかごろ,"lately,recently,nowadays"
地球,ちきゅう,the earth
地区,ちく,"district,section,sector"
遅刻,ちこく,"lateness,late coming"
